time_step,passenger_sequence,target_x,target_y,current_x,current_y,current_cell,state
1182,67,12,2,11.166666666666659,3,{L},0
1182,69,10,1,8.933333333333326,3,{L},0
1182,70,6,9,5.599999999999996,7,{L},2
1182,71,10,2,9.433333333333326,3,{L},0
1182,72,6,8,4.4,7,{L},1
1182,73,8,1,7.533333333333335,3,{L},2
1182,74,4,9,3.1000000000000014,7,{L},1
1182,75,8,2,3.8000000000000016,3,{L},1
1182,76,4,8,0.7,7,{L},1
1182,77,6,1,1.9333333333333331,3,{L},1
1182,78,2,9,0,5.199999999999234,{L},0
1182,79,6,2,0,1.4666666666659154,{L},0
1182,80,2,8,0,-0.9333333333340454,{L},0
1182,81,4,1,0,-3.3333333333340533,{L},0
1182,82,4,2,0,-5.733333333334041,{L},0
1182,83,2,1,0,-8.13333333333399,{L},0
1182,84,17,6,0,-10.333333333333968,{L},0
1182,85,2,2,0,-12.33333333333394,{L},0
1182,86,16,6,0,-14.200000000000575,{L},0
1182,87,15,6,0,-16.00000000000054,{L},0
1182,88,14,6,0,-17.60000000000049,{L},0
1182,89,17,4,0,-19.133333333333788,{L},0
1182,90,13,6,0,-20.8666666666671,{L},0
1182,91,16,4,0,-22.466666666667052,{L},0
1182,92,12,6,0,-24.000000000000327,{L},0
1182,93,15,4,0,-25.73333333333364,{L},0
1182,94,11,6,0,-27.333333333333606,{L},0
1182,95,14,4,0,-28.866666666666887,{L},0
1182,96,10,6,0,-30.600000000000186,{L},0
1182,97,13,4,0,-32.20000000000015,{L},0
1182,98,9,6,0,-33.73333333333344,{L},0
1182,99,12,4,0,-35.46666666666675,{L},0
1182,100,8,6,0,-37.0666666666667,{L},0
1182,101,11,4,0,-38.59999999999999,{L},0
1182,102,7,6,0,-40.3333333333333,{L},0
1182,103,10,4,0,-41.93333333333325,{L},0
1182,104,6,6,0,-43.466666666666534,{L},0
1182,105,9,4,0,-45.19999999999985,{L},0
1182,106,5,6,0,-46.79999999999981,{L},0
1182,107,8,4,0,-48.33333333333309,{L},0
1182,108,4,6,0,-50.066666666666386,{L},0
1182,109,7,4,0,-51.66666666666635,{L},0
1182,110,3,6,0,-53.19999999999965,{L},0
1182,111,6,4,0,-54.933333333332946,{L},0
1182,112,2,6,0,-56.5333333333329,{L},0
1182,113,5,4,0,-58.06666666666619,{L},0
1182,114,1,6,0,-59.7999999999995,{L},0
1182,115,4,4,0,-61.39999999999945,{L},0
1182,116,3,4,0,-62.93333333333273,{L},0
1182,117,2,4,0,-64.66666666666607,{L},0
1182,118,1,4,0,-66.26666666666613,{L},0
