time_step,passenger_sequence,target_x,target_y,current_x,current_y,current_cell,state
971,50,10,12,8.333333333333343,11,{L},0
971,51,8,14,6.066666666666671,11,{L},0
971,52,8,13,3.7333333333333343,11,{L},0
971,53,8,12,5.033333333333336,11,{L},0
971,54,6,14,2.5333333333333345,11,{L},0
971,55,6,13,1.4666666666666666,11,{L},0
971,56,6,12,0.6333333333333333,11,{L},0
971,57,4,14,0,9.666666666667028,{L},0
971,58,4,13,0,6.666666666667029,{L},0
971,59,4,12,0,4.266666666667031,{L},0
971,60,2,15,0,1.8666666666670293,{L},0
971,61,2,16,0,-0.5333333333329635,{L},0
971,62,12,28,0,-2.7999999999996197,{L},0
971,63,14,7,0,-4.933333333332955,{L},0
971,64,14,6,0,-6.799999999999626,{L},0
971,65,14,5,0,-8.466666666666391,{L},0
971,66,12,7,0,-10.066666666666485,{L},0
971,67,12,6,0,-11.666666666666586,{L},0
971,68,12,5,0,-13.33333333333335,{L},0
971,69,10,7,0,-14.933333333333444,{L},0
971,70,10,6,0,-16.533333333333537,{L},0
971,71,10,5,0,-18.2000000000003,{L},0
971,72,8,7,0,-19.800000000000402,{L},0
971,73,8,6,0,-21.400000000000496,{L},0
971,74,8,5,0,-23.066666666667253,{L},0
971,75,6,7,0,-24.666666666667332,{L},0
971,76,6,6,0,-26.266666666667362,{L},0
971,77,6,5,0,-27.933333333334033,{L},0
971,78,4,7,0,-29.533333333334042,{L},0
971,79,2,14,0,-31.133333333334015,{L},0
971,80,2,17,0,-32.80000000000066,{L},0
971,81,12,27,0,-34.40000000000064,{L},0
971,82,4,6,0,-36.000000000000625,{L},0
971,83,2,13,0,-37.66666666666725,{L},0
971,84,14,21,0,-39.26666666666721,{L},0
971,85,12,26,0,-40.866666666667186,{L},0
971,86,4,5,0,-42.533333333333836,{L},0
971,87,2,12,0,-44.13333333333379,{L},0
971,88,14,20,0,-45.73333333333374,{L},0
971,89,10,28,0,-47.40000000000038,{L},0
971,90,2,7,0,-49.00000000000035,{L},0
971,91,14,8,0,-50.6000000000003,{L},0
971,92,14,19,0,-52.26666666666692,{L},0
971,93,10,27,0,-53.86666666666689,{L},0
971,94,2,6,0,-55.46666666666685,{L},0
971,95,14,9,0,-57.13333333333348,{L},0
971,96,12,21,0,-58.733333333333434,{L},0
971,97,10,26,0,-60.3333333333334,{L},0
971,98,2,5,0,-62.000000000000036,{L},0
971,99,14,10,0,-63.599999999999994,{L},0
971,100,12,20,0,-65.2,{L},0
971,101,8,28,0,-66.86666666666673,{L},0
971,102,14,1,0,-68.46666666666678,{L},0
971,103,12,8,0,-70.06666666666682,{L},0
971,104,12,19,0,-71.73333333333353,{L},0
971,105,8,27,0,-73.33333333333358,{L},0
971,106,14,2,0,-74.93333333333364,{L},0
971,107,12,9,0,-76.60000000000035,{L},0
971,108,10,21,0,-78.20000000000039,{L},0
971,109,8,26,0,-79.80000000000044,{L},0
971,110,14,3,0,-81.46666666666717,{L},0
971,111,12,10,0,-83.0666666666672,{L},0
971,112,10,20,0,-84.60000000000056,{L},0
971,113,6,28,0,-86.26666666666729,{L},0
971,114,12,1,0,-87.86666666666734,{L},0
971,115,10,8,0,-89.4000000000007,{L},0
971,116,10,19,0,-91.06666666666742,{L},0
971,117,6,27,0,-92.53333333333411,{L},0
971,118,12,2,0,-94.20000000000084,{L},0
971,119,10,9,0,-95.80000000000088,{L},0
971,120,8,21,0,-97.33333333333424,{L},0
971,121,6,26,0,-98.86666666666761,{L},0
971,122,12,3,0,-100.33333333333431,{L},0
971,123,10,10,0,-101.80000000000099,{L},0
971,124,8,20,0,-103.26666666666767,{L},0
971,125,4,28,0,-104.80000000000105,{L},0
971,126,10,1,0,-106.20000000000107,{L},0
971,127,8,8,0,-107.46666666666772,{L},0
971,128,8,19,0,-108.9333333333344,{L},0
971,129,4,27,0,-110.13333333333439,{L},0
971,130,10,2,0,-111.40000000000106,{L},0
971,131,8,9,0,-112.66666666666771,{L},0
971,132,6,21,0,-113.93333333333436,{L},0
971,133,4,26,0,-115.13333333333435,{L},0
971,134,10,3,0,-116.33333333333434,{L},0
971,135,8,10,0,-117.60000000000099,{L},0
971,136,6,20,0,-118.86666666666764,{L},0
971,137,13,22,0,-120.06666666666763,{L},0
971,138,8,1,0,-121.26666666666762,{L},0
971,139,6,8,0,-122.53333333333427,{L},0
971,140,6,19,0,-123.80000000000092,{L},0
971,141,13,23,0,-125.00000000000091,{L},0
971,142,8,2,0,-126.2000000000009,{L},0
971,143,6,9,0,-127.46666666666755,{L},0
971,144,4,21,0,-128.7333333333342,{L},0
971,145,13,24,0,-129.9333333333342,{L},0
971,146,8,3,0,-131.13333333333418,{L},0
971,147,6,10,0,-132.40000000000083,{L},0
971,148,4,20,0,-133.66666666666748,{L},0
971,149,11,22,0,-134.86666666666747,{L},0
971,150,6,1,0,-136.06666666666746,{L},0
971,151,4,8,0,-137.3333333333341,{L},0
971,152,4,19,0,-138.60000000000076,{L},0
971,153,11,23,0,-139.80000000000075,{L},0
971,154,6,2,0,-141.00000000000074,{L},0
971,155,4,9,0,-142.2666666666674,{L},0
971,156,2,21,0,-143.53333333333404,{L},0
971,157,11,24,0,-144.73333333333403,{L},0
971,158,6,3,0,-145.93333333333402,{L},0
971,159,4,10,0,-147.20000000000067,{L},0
971,160,2,20,0,-148.46666666666732,{L},0
971,161,9,22,0,-149.6666666666673,{L},0
971,162,4,1,0,-150.8666666666673,{L},0
971,163,2,8,0,-152.13333333333395,{L},0
971,164,2,19,0,-153.4000000000006,{L},0
