time_step,passenger_sequence,target_x,target_y,current_x,current_y,current_cell,state
14,0,32,1,4.133333333333334,0.0,28,0
14,1,32,-2,2.2000000000000006,0.0,30,0
14,2,22,-2,0.26666666666666694,0.0,32,0
14,3,31,-3,-1.1999999999999975,0.0,33,0
14,4,30,-1,-2.5333333333333354,0.0,35,0
14,5,25,1,-3.8000000000000056,0.0,36,0
14,6,27,1,-4.933333333333341,0.0,37,0
14,7,25,3,-6.13333333333334,0.0,38,0
14,8,31,-1,-7.200000000000006,0.0,39,0
14,9,31,1,-8.266666666666673,0.0,40,0
14,10,24,-3,-9.266666666666673,0.0,41,0
14,11,26,2,-10.33333333333334,0.0,42,0
14,12,30,-3,-11.400000000000006,0.0,43,0
14,13,29,3,-12.400000000000006,0.0,44,0
14,14,25,-2,-13.466666666666672,0.0,45,0
14,15,24,-1,-14.533333333333339,0.0,47,0
14,16,23,-3,-15.599999999999989,0.0,48,0
14,17,23,-1,-16.533333333333314,0.0,49,0
14,18,32,3,-17.533333333333314,0.0,50,0
14,19,25,-3,-18.533333333333314,0.0,51,0
14,20,30,2,-19.533333333333314,0.0,52,0
14,21,27,3,-20.533333333333314,0.0,53,0
14,22,31,-2,-21.533333333333314,0.0,54,0
14,23,28,-2,-22.533333333333314,0.0,55,0
14,24,22,-1,-23.533333333333314,0.0,56,0
14,25,32,-1,-24.533333333333314,0.0,57,0
14,26,28,2,-25.533333333333314,0.0,58,0
14,27,27,-1,-26.533333333333314,0.0,59,0
14,28,24,-2,-27.533333333333314,0.0,60,0
14,29,22,1,-28.533333333333314,0.0,61,0
14,30,28,1,-29.533333333333314,0.0,62,0
14,31,25,2,-30.533333333333314,0.0,63,0
14,32,23,-2,-31.46666666666664,0.0,63,0
14,33,27,2,-32.46666666666664,0.0,64,0
14,34,23,3,-33.46666666666664,0.0,65,0
14,35,24,3,-34.46666666666664,0.0,66,0
14,36,22,3,-35.53333333333331,0.0,68,0
14,37,24,2,-36.53333333333331,0.0,69,0
14,38,31,2,-37.53333333333331,0.0,70,0
14,39,29,2,-38.53333333333331,0.0,71,0
14,40,26,-1,-39.53333333333331,0.0,72,0
14,41,22,2,-40.53333333333331,0.0,73,0
14,42,30,1,-41.53333333333331,0.0,74,0
14,43,29,-3,-42.53333333333331,0.0,75,0
14,44,25,-1,-43.53333333333331,0.0,76,0
14,45,32,-3,-44.53333333333331,0.0,77,0
