time_step,passenger_sequence,target_x,target_y,current_x,current_y,current_cell,state
3328,142,31,1,19.333333333329755,0.0,13,0
3328,144,26,1,14.899999999996254,0.0,17,0
3328,146,18,2,11.33333333332947,0.0,21,0
3328,147,16,1,10.399999999996071,0.0,22,0
3328,148,20,-3,9.46666666666268,0.0,23,0
3328,149,32,-3,8.533333333329288,0.0,23,0
3328,151,24,-3,4.966666666662505,0.0,27,0
3328,152,8,2,4.033333333329113,0.0,28,0
3328,154,19,-2,1.5666666666623141,0.0,30,0
3328,155,8,1,0.6333333333289184,0.0,31,0
3328,156,29,-2,-0.300000000004477,0.0,32,0
3328,157,11,2,-1.3000000000045377,0.0,33,0
3328,158,5,-3,-2.3000000000046077,0.0,34,0
3328,159,18,-3,-3.3000000000046708,0.0,35,0
3328,160,25,-3,-4.300000000004731,0.0,36,0
3328,161,29,1,-5.30000000000479,0.0,37,0
3328,162,17,-1,-6.300000000004848,0.0,38,0
3328,163,21,3,-7.300000000004905,0.0,39,0
3328,164,13,-1,-8.300000000004964,0.0,40,0
3328,165,17,-2,-9.300000000005022,0.0,41,0
3328,166,22,1,-10.300000000005072,0.0,42,0
3328,167,17,1,-11.30000000000513,0.0,43,0
3328,168,22,2,-12.30000000000519,0.0,44,0
3328,169,24,3,-13.300000000005246,0.0,45,0
3328,170,9,2,-14.300000000005305,0.0,46,0
3328,171,3,2,-15.300000000005364,0.0,47,0
3328,172,22,-2,-16.30000000000542,0.0,48,0
3328,173,4,-2,-17.300000000005493,0.0,49,0
3328,174,19,-1,-18.300000000005568,0.0,50,0
3328,175,25,-2,-19.300000000005635,0.0,51,0
3328,176,27,2,-20.30000000000571,0.0,52,0
3328,177,2,-2,-21.300000000005785,0.0,53,0
3328,178,28,2,-22.30000000000586,0.0,54,0
3328,179,6,-3,-23.300000000005927,0.0,55,0
3328,180,32,3,-24.300000000006,0.0,56,0
3328,181,15,3,-25.30000000000607,0.0,57,0
3328,182,29,2,-26.300000000006143,0.0,58,0
3328,183,2,3,-27.300000000006218,0.0,59,0
3328,184,18,3,-28.300000000006285,0.0,60,0
3328,185,15,-3,-29.30000000000636,0.0,61,0
3328,186,11,-3,-30.300000000006428,0.0,62,0
3328,187,3,-2,-31.300000000006502,0.0,63,0
3328,188,18,1,-32.30000000000657,0.0,64,0
