time_step,passenger_sequence,target_x,target_y,current_x,current_y,current_cell,state
1756,77,32,2,20.933333333333373,0.0,11,0
1756,81,27,-2,13.83333333333315,0.0,18,0
1756,82,24,2,9.299999999999777,0.0,23,0
1756,83,26,-2,7.69999999999974,0.0,24,0
1756,84,32,-2,8.999999999999678,0.0,23,0
1756,85,16,2,6.933333333332975,0.0,25,0
1756,86,8,-2,4.899999999999601,0.0,27,0
1756,87,9,2,5.0666666666662135,0.0,27,0
1756,88,22,-2,3.033333333332833,0.0,29,0
1756,89,25,-2,2.099999999999453,0.0,30,0
1756,90,12,-2,1.1666666666660725,0.0,31,0
1756,91,20,-2,0.23333333333269138,0.0,32,0
1756,92,31,-2,-0.7666666666673635,0.0,33,0
1756,93,17,2,-1.7666666666674176,0.0,34,0
1756,94,29,-2,-2.7666666666674575,0.0,35,0
1756,95,10,-2,-3.7666666666675117,0.0,36,0
1756,96,19,-2,-4.766666666667566,0.0,37,0
1756,97,11,-2,-5.7666666666676125,0.0,38,0
1756,98,4,2,-6.766666666667659,0.0,39,0
1756,99,5,2,-7.766666666667705,0.0,40,0
1756,100,28,-2,-8.766666666667756,0.0,41,0
1756,101,14,-2,-9.766666666667804,0.0,42,0
1756,102,3,2,-10.766666666667847,0.0,43,0
1756,103,21,2,-11.7666666666679,0.0,44,0
1756,104,14,2,-12.76666666666795,0.0,45,0
1756,105,2,-2,-13.766666666668003,0.0,46,0
1756,106,23,2,-14.900000000001386,0.0,47,0
1756,107,27,2,-15.900000000001443,0.0,48,0
1756,108,8,2,-16.90000000000151,0.0,49,0
1756,109,5,-2,-17.900000000001576,0.0,50,0
1756,110,25,2,-18.900000000001643,0.0,51,0
1756,111,6,-2,-19.900000000001715,0.0,52,0
1756,112,16,-2,-20.90000000000179,0.0,53,0
1756,113,22,2,-21.96666666666853,0.0,54,0
1756,114,31,2,-22.9666666666686,0.0,55,0
1756,115,18,-2,-23.96666666666867,0.0,56,0
1756,116,2,2,-25.03333333333541,0.0,57,0
1756,117,30,-2,-26.033333333335477,0.0,58,0
1756,118,26,2,-27.100000000002222,0.0,59,0
1756,119,12,2,-28.100000000002296,0.0,60,0
1756,120,23,-2,-29.16666666666903,0.0,61,0
1756,121,11,2,-30.166666666669105,0.0,62,0
1756,122,7,-2,-31.233333333335846,0.0,63,0
1756,123,15,2,-32.36666666666926,0.0,64,0
1756,124,6,2,-33.36666666666934,0.0,65,0
1756,125,15,-2,-34.50000000000276,0.0,67,0
1756,126,8,-1,-35.63333333333618,0.0,68,0
1756,127,24,-1,-36.70000000000293,0.0,69,0
1756,128,13,-1,-37.70000000000301,0.0,70,0
1756,129,15,1,-38.766666666669764,0.0,71,0
1756,130,4,1,-39.90000000000318,0.0,72,0
1756,131,30,-1,-40.90000000000327,0.0,73,0
1756,132,17,1,-41.966666666670015,0.0,74,0
1756,133,2,1,-42.96666666667009,0.0,75,0
1756,134,32,-1,-44.10000000000352,0.0,76,0
1756,135,27,-1,-45.1000000000036,0.0,77,0
1756,136,11,-1,-46.166666666670345,0.0,78,0
1756,137,23,1,-47.16666666667043,0.0,79,0
1756,138,12,1,-48.36666666667052,0.0,80,0
1756,139,14,-1,-49.43333333333727,0.0,81,0
1756,140,7,1,-50.56666666667069,0.0,83,0
1756,141,20,1,-51.70000000000411,0.0,84,0
1756,142,32,1,-52.833333333337535,0.0,85,0
1756,143,5,-1,-53.90000000000428,0.0,86,0
1756,144,31,-1,-55.0333333333377,0.0,87,0
1756,145,4,-1,-56.10000000000446,0.0,88,0
1756,146,15,-1,-57.166666666671205,0.0,89,0
1756,147,16,-1,-58.30000000000463,0.0,90,0
1756,148,19,1,-59.50000000000471,0.0,92,0
1756,149,7,-1,-60.566666666671466,0.0,93,0
1756,150,13,1,-61.766666666671554,0.0,94,0
1756,151,26,-1,-62.90000000000497,0.0,95,0
1756,152,2,-1,-64.10000000000505,0.0,96,0
1756,153,26,1,-65.16666666667172,0.0,97,0
1756,154,23,-1,-66.30000000000504,0.0,98,0
1756,155,31,1,-67.43333333333837,0.0,99,0
1756,156,12,-1,-68.70000000000502,0.0,101,0
1756,157,24,1,-69.90000000000501,0.0,102,0
1756,158,1,-1,-70.96666666667167,0.0,103,0
1756,159,16,1,-72.100000000005,0.0,104,0
1756,160,25,1,-73.36666666667165,0.0,105,0
1756,161,5,1,-74.50000000000497,0.0,107,0
1756,162,19,-1,-75.70000000000496,0.0,108,0
1756,163,8,1,-76.83333333333829,0.0,109,0
1756,164,18,1,-78.1666666666716,0.0,110,0
1756,165,28,-1,-79.36666666667159,0.0,111,0
1756,166,9,-1,-80.50000000000492,0.0,113,0
1756,167,29,1,-81.7000000000049,0.0,114,0
1756,168,21,-1,-83.03333333333822,0.0,115,0
1756,169,29,-1,-84.16666666667155,0.0,116,0
