time_step,passenger_sequence,target_x,target_y,current_x,current_y,current_cell,state
1396,63,22,-2,6.033333333334054,0.0,26,0
1396,64,25,-2,5.10000000000068,0.0,27,0
1396,65,25,2,4.166666666667302,0.0,28,0
1396,66,23,2,4.933333333333916,0.0,27,0
1396,67,32,-2,2.3000000000005314,0.0,30,0
1396,68,29,2,1.3666666666671443,0.0,31,0
1396,69,23,-2,0.4333333333337608,0.0,32,0
1396,70,30,2,-0.5666666666662942,0.0,33,0
1396,71,31,-2,-1.5666666666663458,0.0,34,0
1396,72,27,-2,-2.5666666666663827,0.0,35,0
1396,73,28,-2,-3.5666666666664315,0.0,36,0
1396,74,22,2,-4.633333333333146,0.0,37,0
1396,75,28,2,-5.633333333333194,0.0,38,0
1396,76,26,2,-6.633333333333233,0.0,39,0
1396,77,24,2,-7.633333333333283,0.0,40,0
1396,78,29,-2,-8.633333333333322,0.0,41,0
1396,79,32,2,-9.633333333333375,0.0,42,0
1396,80,24,-2,-10.633333333333416,0.0,43,0
1396,81,26,-2,-11.700000000000124,0.0,44,0
1396,82,27,2,-12.766666666666838,0.0,45,0
1396,83,30,-2,-13.766666666666884,0.0,46,0
1396,84,31,2,-14.90000000000026,0.0,47,0
1396,85,20,2,-15.900000000000302,0.0,48,0
1396,86,13,-2,-16.966666666667027,0.0,49,0
1396,87,18,2,-17.966666666667095,0.0,50,0
1396,88,12,-2,-19.100000000000485,0.0,51,0
1396,89,17,-2,-20.16666666666721,0.0,52,0
1396,90,15,2,-21.233333333333935,0.0,53,0
1396,91,13,2,-22.366666666667335,0.0,54,0
1396,92,14,-2,-23.50000000000073,0.0,56,0
1396,93,14,2,-24.56666666666746,0.0,57,0
1396,94,18,-2,-25.700000000000845,0.0,58,0
1396,95,19,2,-26.90000000000091,0.0,59,0
1396,96,15,-2,-28.03333333333431,0.0,60,0
1396,97,21,2,-29.100000000001035,0.0,61,0
1396,98,17,2,-30.233333333334432,0.0,62,0
1396,99,12,2,-31.4333333333345,0.0,63,0
1396,100,21,-2,-32.566666666667906,0.0,65,0
1396,101,16,-2,-33.766666666667994,0.0,66,0
1396,102,20,-2,-34.90000000000141,0.0,67,0
1396,103,19,-2,-36.16666666666817,0.0,68,0
1396,104,16,2,-37.36666666666826,0.0,69,0
1396,105,1,-2,-38.50000000000168,0.0,71,0
1396,106,6,2,-39.700000000001765,0.0,72,0
1396,107,2,-2,-41.03333333333519,0.0,73,0
1396,108,4,2,-42.16666666666862,0.0,74,0
1396,109,6,-2,-43.366666666668706,0.0,75,0
1396,110,2,2,-44.500000000002125,0.0,77,0
1396,111,5,-2,-45.83333333333555,0.0,78,0
1396,112,9,2,-47.03333333333564,0.0,79,0
1396,113,3,2,-48.166666666669066,0.0,80,0
1396,114,3,-2,-49.366666666669154,0.0,81,0
1396,115,4,-2,-50.70000000000258,0.0,83,0
1396,116,5,2,-51.833333333336,0.0,84,0
1396,117,11,-2,-53.03333333333609,0.0,85,0
1396,118,7,2,-54.166666666669514,0.0,86,0
1396,119,8,2,-55.50000000000294,0.0,88,0
1396,120,8,-2,-56.70000000000303,0.0,89,0
1396,121,7,-2,-57.833333333336455,0.0,90,0
