time_step,passenger_sequence,target_x,target_y,current_x,current_y,current_cell,state
2353,104,27,2,15.766666666665305,0.0,16,0
2353,105,29,2,13.933333333331928,0.0,18,0
2353,106,29,-2,11.399999999998549,0.0,21,0
2353,107,30,-2,12.066666666665158,0.0,20,0
2353,108,25,-2,9.533333333331775,0.0,22,0
2353,109,23,-2,8.59999999999839,0.0,23,0
2353,110,26,-2,7.666666666665009,0.0,24,0
2353,111,22,2,6.733333333331624,0.0,25,0
2353,112,32,-2,5.799999999998237,0.0,26,0
2353,113,27,-2,4.866666666664843,0.0,27,0
2353,114,30,2,3.933333333331459,0.0,28,0
2353,115,31,-2,2.99999999999807,0.0,29,0
2353,116,28,-2,2.066666666664677,0.0,30,0
2353,117,31,2,1.1333333333312898,0.0,31,0
2353,118,28,2,0.19999999999790333,0.0,32,0
2353,119,22,-2,-0.8000000000021501,0.0,33,0
2353,120,24,2,-1.8000000000022127,0.0,34,0
2353,121,24,-2,-2.800000000002276,0.0,35,0
2353,122,26,2,-3.800000000002334,0.0,36,0
2353,123,32,2,-4.800000000002386,0.0,37,0
2353,124,23,2,-5.8000000000024485,0.0,38,0
2353,125,25,2,-6.800000000002498,0.0,39,0
2353,126,5,-1,-7.800000000002553,0.0,40,0
2353,127,1,-1,-8.800000000002612,0.0,41,0
2353,128,6,-1,-9.800000000002669,0.0,42,0
2353,129,4,1,-10.800000000002727,0.0,43,0
2353,130,6,1,-11.800000000002782,0.0,44,0
2353,131,8,-1,-12.80000000000284,0.0,45,0
2353,132,8,1,-13.800000000002902,0.0,46,0
2353,133,7,1,-14.800000000002953,0.0,47,0
2353,134,9,1,-15.80000000000301,0.0,48,0
2353,135,2,1,-16.80000000000308,0.0,49,0
2353,136,11,1,-17.80000000000316,0.0,50,0
2353,137,10,-1,-18.800000000003237,0.0,51,0
2353,138,7,-1,-19.800000000003312,0.0,52,0
2353,139,10,1,-20.800000000003383,0.0,53,0
2353,140,2,-1,-21.800000000003465,0.0,54,0
2353,141,4,-1,-22.80000000000354,0.0,55,0
2353,142,3,1,-23.800000000003614,0.0,56,0
2353,143,9,-1,-24.80000000000369,0.0,57,0
2353,144,5,1,-25.800000000003767,0.0,58,0
2353,145,3,-1,-26.80000000000385,0.0,59,0
2353,146,11,-1,-27.800000000003923,0.0,60,0
2353,147,19,-1,-28.800000000003994,0.0,61,0
2353,148,14,-1,-29.800000000004076,0.0,62,0
2353,149,17,1,-30.80000000000415,0.0,63,0
2353,150,13,-1,-31.800000000004225,0.0,64,0
2353,151,12,-1,-32.8000000000043,0.0,65,0
2353,152,17,-1,-33.80000000000439,0.0,66,0
2353,153,18,-1,-34.800000000004474,0.0,67,0
2353,154,15,-1,-35.80000000000455,0.0,68,0
2353,155,15,1,-36.8666666666713,0.0,69,0
2353,156,16,1,-37.86666666667138,0.0,70,0
2353,157,18,1,-38.866666666671456,0.0,71,0
2353,158,12,1,-39.866666666671534,0.0,72,0
2353,159,20,-1,-40.86666666667161,0.0,73,0
2353,160,14,1,-41.8666666666717,0.0,74,0
2353,161,16,-1,-42.933333333338446,0.0,75,0
2353,162,21,1,-44.000000000005194,0.0,76,0
2353,163,13,1,-45.00000000000527,0.0,77,0
2353,164,21,-1,-46.00000000000535,0.0,78,0
2353,165,20,1,-47.00000000000543,0.0,79,0
2353,166,19,1,-48.00000000000551,0.0,80,0
2353,167,26,-1,-49.066666666672255,0.0,81,0
2353,168,32,-1,-50.06666666667233,0.0,82,0
2353,169,23,1,-51.06666666667241,0.0,83,0
2353,170,30,-1,-52.13333333333916,0.0,84,0
2353,171,22,-1,-53.13333333333924,0.0,85,0
2353,172,32,1,-54.200000000005986,0.0,86,0
2353,173,24,-1,-55.266666666672734,0.0,87,0
2353,174,27,-1,-56.33333333333948,0.0,88,0
2353,175,22,1,-57.33333333333955,0.0,89,0
2353,176,23,-1,-58.33333333333963,0.0,90,0
2353,177,26,1,-59.53333333333972,0.0,92,0
2353,178,28,-1,-60.60000000000647,0.0,93,0
2353,179,25,-1,-61.66666666667321,0.0,94,0
2353,180,30,1,-62.80000000000663,0.0,95,0
2353,181,28,1,-63.800000000006705,0.0,96,0
2353,182,24,1,-64.80000000000672,0.0,97,0
2353,183,25,1,-65.86666666667338,0.0,98,0
2353,184,31,1,-67.00000000000671,0.0,99,0
2353,185,29,-1,-68.00000000000671,0.0,100,0
2353,186,27,1,-69.06666666667337,0.0,101,0
2353,187,29,1,-70.13333333334003,0.0,102,0
2353,188,31,-1,-71.2000000000067,0.0,103,0
