time_step,passenger_sequence,target_x,target_y,current_x,current_y,current_cell,state
942,49,11,5,10.633333333333331,3,{L},2
942,51,9,5,8.5,3,{L},2
942,53,7,5,4.933333333333334,3,{L},1
942,54,18,9,6.166666666666662,7,{L},0
942,55,5,5,3.8000000000000025,3,{L},1
942,56,18,8,6.099999999999994,7,{L},0
942,57,3,5,1.833333333333333,3,{L},1
942,58,16,9,3.700000000000002,7,{L},0
942,60,16,8,0,5.466666666667016,{L},0
942,61,18,1,0,1.6666666666670238,{L},0
942,62,14,9,0,-0.7333333333329726,{L},0
942,63,18,2,0,-3.133333333332966,{L},0
942,64,14,8,0,-5.533333333332968,{L},0
942,65,16,1,0,-7.866666666666407,{L},0
942,66,12,9,0,-10.066666666666492,{L},0
942,67,16,2,0,-12.066666666666592,{L},0
942,68,12,8,0,-13.733333333333363,{L},0
942,69,14,1,0,-15.466666666666782,{L},0
942,70,10,9,0,-17.066666666666876,{L},0
942,71,14,2,0,-18.600000000000314,{L},0
942,72,10,8,0,-20.33333333333374,{L},0
942,73,12,1,0,-21.933333333333835,{L},0
942,74,8,9,0,-23.466666666667265,{L},0
942,75,12,2,0,-25.20000000000065,{L},0
942,76,8,8,0,-26.800000000000686,{L},0
942,77,10,1,0,-28.333333333334025,{L},0
942,78,6,9,0,-30.06666666666736,{L},0
942,79,10,2,0,-31.66666666666734,{L},0
942,80,6,8,0,-33.20000000000063,{L},0
942,81,8,1,0,-34.93333333333396,{L},0
942,82,4,9,0,-36.53333333333394,{L},0
942,83,8,2,0,-38.06666666666722,{L},0
942,84,4,8,0,-39.80000000000053,{L},0
942,85,6,1,0,-41.4000000000005,{L},0
942,86,2,9,0,-42.933333333333806,{L},0
942,87,6,2,0,-44.666666666667105,{L},0
942,88,2,8,0,-46.26666666666706,{L},0
942,89,4,1,0,-47.80000000000035,{L},0
942,90,19,6,0,-49.533333333333665,{L},0
942,91,4,2,0,-51.13333333333362,{L},0
942,92,18,6,0,-52.66666666666689,{L},0
942,93,2,1,0,-54.400000000000205,{L},0
942,94,17,6,0,-56.00000000000017,{L},0
942,95,2,2,0,-57.53333333333345,{L},0
942,96,16,6,0,-59.26666666666675,{L},0
942,97,19,4,0,-60.86666666666672,{L},0
942,98,13,6,0,-62.400000000000006,{L},0
942,99,18,4,0,-64.13333333333331,{L},0
942,100,12,6,0,-65.73333333333335,{L},0
942,101,17,4,0,-67.26666666666672,{L},0
942,102,11,6,0,-69.00000000000013,{L},0
942,103,16,4,0,-70.60000000000016,{L},0
942,104,10,6,0,-72.13333333333352,{L},0
942,105,13,4,0,-73.86666666666693,{L},0
942,106,9,6,0,-75.46666666666698,{L},0
942,107,12,4,0,-77.00000000000034,{L},0
942,108,8,6,0,-78.73333333333373,{L},0
942,109,11,4,0,-80.33333333333378,{L},0
942,110,7,6,0,-81.86666666666716,{L},0
942,111,10,4,0,-83.60000000000055,{L},0
942,112,6,6,0,-85.13333333333391,{L},0
942,113,9,4,0,-86.66666666666728,{L},0
942,114,5,6,0,-88.40000000000069,{L},0
942,115,8,4,0,-89.93333333333405,{L},0
942,116,4,6,0,-91.40000000000073,{L},0
942,117,7,4,0,-93.13333333333414,{L},0
942,118,3,6,0,-94.66666666666751,{L},0
942,119,6,4,0,-96.20000000000087,{L},0
942,120,2,6,0,-97.8000000000009,{L},0
942,121,5,4,0,-99.33333333333428,{L},0
942,122,1,6,0,-100.7333333333343,{L},0
942,123,4,4,0,-102.26666666666766,{L},0
942,124,3,4,0,-103.73333333333434,{L},0
942,125,2,4,0,-105.13333333333436,{L},0
942,126,1,4,0,-106.4666666666677,{L},0
