time_step,passenger_sequence,target_x,target_y,current_x,current_y,current_cell,state
2473,112,11,-3,10.233333333331514,0.0,22,0
2473,114,13,-2,8.266666666664745,0.0,24,0
2473,115,9,-2,7.333333333331359,0.0,25,0
2473,116,7,3,6.399999999997975,0.0,26,0
2473,118,15,2,3.2333333333312098,0.0,29,0
2473,119,14,-2,2.2999999999978225,0.0,30,0
2473,120,4,3,1.366666666664435,0.0,31,0
2473,121,2,2,0.43333333333105184,0.0,32,0
2473,122,13,2,-0.5666666666690084,0.0,33,0
2473,123,9,-3,-1.5666666666690658,0.0,34,0
2473,124,12,-3,-2.5666666666691165,0.0,35,0
2473,125,3,2,-3.5666666666691706,0.0,36,0
2473,126,25,1,-4.566666666669228,0.0,37,0
2473,127,2,-1,-5.5666666666692795,0.0,38,0
2473,128,14,-1,-6.56666666666934,0.0,39,0
2473,129,27,1,-7.56666666666939,0.0,40,0
2473,130,17,-1,-8.56666666666944,0.0,41,0
2473,131,12,1,-9.566666666669489,0.0,42,0
2473,132,10,-1,-10.56666666666955,0.0,43,0
2473,133,8,1,-11.566666666669596,0.0,44,0
2473,134,11,1,-12.566666666669652,0.0,45,0
2473,135,18,1,-13.566666666669713,0.0,46,0
2473,136,28,1,-14.566666666669766,0.0,47,0
2473,137,31,1,-15.56666666666982,0.0,48,0
2473,138,24,1,-16.633333333336545,0.0,49,0
2473,139,30,-1,-17.633333333336616,0.0,50,0
2473,140,9,-1,-18.700000000003357,0.0,51,0
2473,141,22,1,-19.700000000003428,0.0,52,0
2473,142,7,1,-20.700000000003506,0.0,53,0
2473,143,23,1,-21.700000000003577,0.0,54,0
2473,144,2,1,-22.700000000003655,0.0,55,0
2473,145,19,1,-23.700000000003723,0.0,56,0
2473,146,32,1,-24.766666666670464,0.0,57,0
2473,147,26,-1,-25.76666666667053,0.0,58,0
2473,148,19,-1,-26.76666666667061,0.0,59,0
2473,149,29,-1,-27.833333333337347,0.0,60,0
2473,150,6,-1,-28.833333333337425,0.0,61,0
2473,151,8,-1,-29.900000000004162,0.0,62,0
2473,152,5,-1,-30.90000000000424,0.0,63,0
2473,153,23,-1,-31.96666666667098,0.0,64,0
2473,154,17,1,-32.96666666667106,0.0,65,0
2473,155,10,1,-33.96666666667114,0.0,66,0
2473,156,11,-1,-35.03333333333789,0.0,67,0
2473,157,13,-1,-36.10000000000464,0.0,68,0
2473,158,28,-1,-37.1666666666714,0.0,69,0
2473,159,1,-1,-38.166666666671475,0.0,70,0
2473,160,30,1,-39.3000000000049,0.0,71,0
2473,161,7,-1,-40.36666666667165,0.0,72,0
2473,162,3,-1,-41.366666666671726,0.0,73,0
2473,163,12,-1,-42.500000000005144,0.0,75,0
2473,164,15,1,-43.63333333333857,0.0,76,0
2473,165,9,1,-44.70000000000532,0.0,77,0
2473,166,25,-1,-45.76666666667207,0.0,78,0
2473,167,14,1,-46.90000000000549,0.0,79,0
2473,168,29,1,-47.90000000000557,0.0,80,0
2473,169,32,-1,-48.900000000005654,0.0,81,0
2473,170,3,1,-49.9666666666724,0.0,82,0
2473,171,21,1,-51.10000000000582,0.0,83,0
2473,172,5,1,-52.1000000000059,0.0,84,0
2473,173,13,1,-53.16666666667265,0.0,85,0
2473,174,15,-1,-54.233333333339395,0.0,86,0
2473,175,31,-1,-55.36666666667281,0.0,87,0
2473,176,27,-1,-56.50000000000624,0.0,89,0
2473,177,4,-1,-57.56666666667299,0.0,90,0
2473,178,18,-1,-58.766666666673075,0.0,91,0
2473,179,22,-1,-59.90000000000649,0.0,92,0
2473,180,21,-1,-60.96666666667324,0.0,93,0
2473,181,4,1,-62.10000000000666,0.0,94,0
2473,182,24,-1,-63.10000000000674,0.0,95,0
2473,183,26,1,-64.3000000000068,0.0,96,0
2473,184,16,-1,-65.36666666667347,0.0,97,0
2473,185,20,1,-66.50000000000679,0.0,99,0
2473,186,16,1,-67.63333333334012,0.0,100,0
2473,187,6,1,-68.83333333334011,0.0,101,0
2473,188,20,-1,-69.96666666667343,0.0,102,0
