time_step,passenger_sequence,target_x,target_y,current_x,current_y,current_cell,state
895,39,24,1,19.333333333333584,0.0,13,0
895,42,13,-3,12.433333333333612,0.0,20,0
895,43,32,1,10.766666666666964,0.0,21,0
895,44,12,-3,8.83333333333366,0.0,23,0
895,45,25,1,7.233333333333686,0.0,25,0
895,46,30,-3,5.433333333333698,0.0,27,0
895,47,32,-1,3.5666666666670492,0.0,28,0
895,48,17,-3,1.9666666666670656,0.0,30,0
895,49,20,-2,0.7000000000004205,0.0,31,0
895,50,31,3,-0.6333333333328895,0.0,33,0
895,51,9,1,-1.8333333333328714,0.0,34,0
895,52,13,-2,-3.166666666666187,0.0,35,0
895,53,26,-3,-4.5666666666661655,0.0,37,0
895,54,14,1,-5.833333333332806,0.0,38,0
895,55,15,1,-7.099999999999449,0.0,39,0
895,56,25,3,-8.633333333332759,0.0,41,0
895,57,12,-2,-9.899999999999395,0.0,42,0
895,58,9,-2,-11.366666666666033,0.0,43,0
895,59,21,-3,-12.833333333332673,0.0,45,0
895,60,3,1,-14.099999999999316,0.0,46,0
895,61,14,3,-15.56666666666595,0.0,48,0
895,62,20,2,-16.96666666666593,0.0,49,0
895,63,6,3,-18.299999999999244,0.0,50,0
895,64,12,3,-19.699999999999303,0.0,52,0
895,65,5,-2,-21.09999999999936,0.0,53,0
895,66,9,-3,-22.299999999999418,0.0,54,0
895,67,1,-3,-23.56666666666614,0.0,56,0
895,68,17,3,-24.89999999999954,0.0,57,0
895,69,5,-1,-26.033333333332934,0.0,58,0
895,70,22,3,-27.233333333332997,0.0,59,0
895,71,15,-1,-28.366666666666383,0.0,60,0
895,72,5,2,-29.69999999999977,0.0,62,0
895,73,5,1,-30.899999999999824,0.0,63,0
895,74,1,-1,-32.03333333333322,0.0,64,0
895,75,31,-2,-33.2333333333333,0.0,65,0
895,76,16,2,-34.50000000000005,0.0,67,0
895,77,12,-1,-35.70000000000014,0.0,68,0
895,78,22,-3,-36.83333333333355,0.0,69,0
895,79,21,-1,-38.03333333333364,0.0,70,0
895,80,3,3,-39.36666666666706,0.0,71,0
895,81,16,3,-40.50000000000047,0.0,73,0
895,82,29,-1,-41.70000000000056,0.0,74,0
