time_step,passenger_sequence,target_x,target_y,current_x,current_y,current_cell,state
3190,211,7,14,6.53333333333333,11,{L},2
3190,212,7,17,5.533333333333333,18,{L},0
3190,214,7,6,6.533333333333325,4,{L},2
3190,215,7,13,4.2,11,{L},0
3190,216,5,15,3.4000000000000012,18,{L},0
3190,217,1,24,0,19.933333333331277,{L},0
3190,218,7,5,3.133333333333336,4,{L},1
3190,219,7,12,1.4666666666666666,11,{L},0
3190,220,5,16,0,5.79999999999776,{L},0
3190,221,13,28,0,2.2666666666643738,{L},0
3190,222,5,7,0,-0.1333333333356833,{L},0
3190,223,5,14,0,-2.53333333333574,{L},0
3190,224,5,17,0,-4.933333333335803,{L},0
3190,225,13,27,0,-7.333333333335862,{L},0
3190,226,5,6,0,-9.733333333335914,{L},0
3190,227,5,13,0,-12.133333333335958,{L},0
3190,228,3,15,0,-14.46666666666934,{L},0
3190,229,13,26,0,-16.66666666666939,{L},0
3190,230,5,5,0,-18.800000000002775,{L},0
3190,231,5,12,0,-20.666666666669492,{L},0
3190,232,3,16,0,-22.266666666669543,{L},0
3190,233,11,28,0,-23.933333333336257,{L},0
3190,234,3,7,0,-25.53333333333631,{L},0
3190,235,3,14,0,-27.13333333333636,{L},0
3190,236,3,17,0,-28.80000000000308,{L},0
3190,237,11,27,0,-30.400000000003132,{L},0
3190,238,3,6,0,-32.00000000000318,{L},0
3190,239,3,13,0,-33.6666666666699,{L},0
3190,240,1,15,0,-35.26666666666995,{L},0
3190,241,11,26,0,-36.86666666667,{L},0
3190,242,3,5,0,-38.53333333333672,{L},0
3190,243,3,12,0,-40.13333333333677,{L},0
3190,244,1,16,0,-41.73333333333682,{L},0
3190,245,9,28,0,-43.40000000000354,{L},0
3190,246,1,7,0,-45.00000000000359,{L},0
3190,247,1,14,0,-46.60000000000364,{L},0
3190,248,1,17,0,-48.26666666667036,{L},0
3190,249,9,27,0,-49.86666666667041,{L},0
3190,250,1,6,0,-51.46666666667046,{L},0
3190,251,1,13,0,-53.13333333333718,{L},0
3190,252,13,21,0,-54.73333333333723,{L},0
3190,253,9,26,0,-56.33333333333728,{L},0
3190,254,1,5,0,-58.000000000004,{L},0
3190,255,1,12,0,-59.60000000000405,{L},0
3190,256,13,20,0,-61.2000000000041,{L},0
3190,257,7,28,0,-62.86666666667082,{L},0
3190,258,13,1,0,-64.46666666667089,{L},0
3190,259,13,8,0,-66.06666666667103,{L},0
3190,260,13,19,0,-67.73333333333784,{L},0
3190,261,7,27,0,-69.33333333333798,{L},0
3190,262,13,2,0,-70.93333333333811,{L},0
3190,263,13,9,0,-72.60000000000491,{L},0
3190,264,11,21,0,-74.20000000000505,{L},0
3190,265,7,26,0,-75.80000000000518,{L},0
3190,266,13,3,0,-77.466666666672,{L},0
3190,267,13,10,0,-79.06666666667213,{L},0
3190,268,11,20,0,-80.66666666667227,{L},0
3190,269,5,28,0,-82.33333333333907,{L},0
3190,270,11,1,0,-83.9333333333392,{L},0
3190,271,11,8,0,-85.53333333333934,{L},0
3190,272,11,19,0,-87.20000000000616,{L},0
3190,273,5,27,0,-88.80000000000629,{L},0
3190,274,11,2,0,-90.40000000000643,{L},0
3190,275,11,9,0,-92.06666666667323,{L},0
3190,276,9,21,0,-93.66666666667336,{L},0
3190,277,5,26,0,-95.2666666666735,{L},0
3190,278,11,3,0,-96.93333333334031,{L},0
3190,279,11,10,0,-98.53333333334045,{L},0
3190,280,9,20,0,-100.13333333334059,{L},0
3190,281,9,1,0,-101.80000000000739,{L},0
3190,282,9,8,0,-103.40000000000752,{L},0
3190,283,9,19,0,-105.00000000000766,{L},0
3190,284,9,2,0,-106.66666666667447,{L},0
3190,285,9,9,0,-108.26666666667461,{L},0
3190,286,7,21,0,-109.86666666667475,{L},0
3190,287,9,3,0,-111.53333333334155,{L},0
3190,288,9,10,0,-113.13333333334168,{L},0
3190,289,7,20,0,-114.73333333334182,{L},0
3190,290,7,1,0,-116.40000000000863,{L},0
3190,291,7,8,0,-118.00000000000877,{L},0
3190,292,7,19,0,-119.6000000000089,{L},0
3190,293,7,2,0,-121.2666666666757,{L},0
3190,294,7,9,0,-122.86666666667584,{L},0
3190,295,5,21,0,-124.46666666667598,{L},0
3190,296,7,3,0,-126.13333333334279,{L},0
3190,297,7,10,0,-127.73333333334293,{L},0
3190,298,5,20,0,-129.33333333334292,{L},0
3190,299,5,1,0,-131.00000000000955,{L},0
3190,300,5,8,0,-132.60000000000952,{L},0
3190,301,5,19,0,-134.20000000000948,{L},0
3190,302,5,2,0,-135.8666666666761,{L},0
3190,303,5,9,0,-137.46666666667608,{L},0
3190,304,3,21,0,-139.06666666667604,{L},0
3190,305,5,3,0,-140.73333333334267,{L},0
3190,306,5,10,0,-142.33333333334264,{L},0
3190,307,3,20,0,-143.9333333333426,{L},0
3190,308,3,8,0,-145.60000000000923,{L},0
3190,309,3,19,0,-147.2000000000092,{L},0
3190,310,3,9,0,-148.80000000000916,{L},0
3190,311,1,21,0,-150.4666666666758,{L},0
3190,312,3,10,0,-152.06666666667576,{L},0
3190,313,1,20,0,-153.66666666667572,{L},0
3190,314,1,8,0,-155.33333333334235,{L},0
3190,315,1,19,0,-156.93333333334232,{L},0
3190,316,1,9,0,-158.53333333334228,{L},0
3190,317,1,10,0,-160.2000000000089,{L},0
