time_step,passenger_sequence,target_x,target_y,current_x,current_y,current_cell,state
845,43,19,5,15.766666666666652,3,{L},0
845,45,17,5,10.93333333333333,3,{L},0
845,46,8,5,6.800000000000004,7,{L},0
845,47,13,5,8.466666666666669,3,{L},0
845,48,6,5,4.266666666666669,7,{L},0
845,49,11,5,5.766666666666669,3,{L},0
845,50,4,5,2.066666666666667,7,{L},0
845,51,9,5,4.1000000000000005,3,{L},0
845,52,2,5,1.2,7,{L},0
845,53,7,5,1.1333333333333333,3,{L},0
845,54,18,9,0,3.3333333333336626,{L},0
845,55,5,5,0,0.06666666666699633,{L},0
845,56,18,8,0,-2.333333333333007,{L},0
845,57,3,5,0,-4.733333333332995,{L},0
845,58,16,9,0,-7.066666666666324,{L},0
845,59,1,5,0,-9.266666666666325,{L},0
845,60,16,8,0,-11.333333333332977,{L},0
845,61,18,1,0,-13.133333333332963,{L},0
845,62,14,9,0,-14.666666666666288,{L},0
845,63,18,2,0,-16.399999999999608,{L},0
845,64,14,8,0,-17.999999999999602,{L},0
845,65,16,1,0,-19.533333333333033,{L},0
845,66,12,9,0,-21.266666666666453,{L},0
845,67,16,2,0,-22.866666666666553,{L},0
845,68,12,8,0,-24.39999999999999,{L},0
845,69,14,1,0,-26.13333333333341,{L},0
845,70,10,9,0,-27.733333333333505,{L},0
845,71,14,2,0,-29.266666666666943,{L},0
845,72,10,8,0,-31.00000000000037,{L},0
845,73,12,1,0,-32.60000000000046,{L},0
845,74,8,9,0,-34.133333333333894,{L},0
845,75,12,2,0,-35.86666666666728,{L},0
845,76,8,8,0,-37.466666666667315,{L},0
845,77,10,1,0,-39.000000000000654,{L},0
845,78,6,9,0,-40.73333333333399,{L},0
845,79,10,2,0,-42.33333333333397,{L},0
845,80,6,8,0,-43.86666666666726,{L},0
845,81,8,1,0,-45.60000000000059,{L},0
845,82,4,9,0,-47.20000000000057,{L},0
845,83,8,2,0,-48.733333333333846,{L},0
845,84,4,8,0,-50.46666666666716,{L},0
845,85,6,1,0,-52.06666666666713,{L},0
845,86,2,9,0,-53.600000000000435,{L},0
845,87,6,2,0,-55.333333333333734,{L},0
845,88,2,8,0,-56.933333333333685,{L},0
845,89,4,1,0,-58.46666666666698,{L},0
845,90,19,6,0,-60.200000000000294,{L},0
845,91,4,2,0,-61.800000000000246,{L},0
845,92,18,6,0,-63.33333333333352,{L},0
845,93,2,1,0,-65.06666666666689,{L},0
845,94,17,6,0,-66.66666666666694,{L},0
845,95,2,2,0,-68.2000000000003,{L},0
845,96,16,6,0,-69.93333333333369,{L},0
845,97,19,4,0,-71.53333333333374,{L},0
845,98,13,6,0,-73.06666666666712,{L},0
845,99,18,4,0,-74.73333333333383,{L},0
845,100,12,6,0,-76.33333333333387,{L},0
845,101,17,4,0,-77.80000000000057,{L},0
845,102,11,6,0,-79.4666666666673,{L},0
845,103,16,4,0,-81.06666666666733,{L},0
845,104,10,6,0,-82.53333333333401,{L},0
845,105,13,4,0,-84.26666666666742,{L},0
845,106,9,6,0,-85.73333333333412,{L},0
845,107,12,4,0,-87.26666666666748,{L},0
845,108,8,6,0,-88.80000000000084,{L},0
845,109,11,4,0,-90.33333333333421,{L},0
845,110,7,6,0,-91.66666666666755,{L},0
845,111,10,4,0,-93.20000000000091,{L},0
845,112,6,6,0,-94.53333333333424,{L},0
845,113,9,4,0,-96.00000000000094,{L},0
845,114,5,6,0,-97.2666666666676,{L},0
845,115,8,4,0,-98.60000000000093,{L},0
845,116,4,6,0,-99.86666666666758,{L},0
845,117,7,4,0,-101.06666666666757,{L},0
845,118,3,6,0,-102.26666666666756,{L},0
845,119,6,4,0,-103.53333333333421,{L},0
845,120,2,6,0,-104.80000000000086,{L},0
845,121,5,4,0,-106.00000000000085,{L},0
845,122,1,6,0,-107.20000000000084,{L},0
845,123,4,4,0,-108.46666666666749,{L},0
845,124,3,4,0,-109.73333333333414,{L},0
845,125,2,4,0,-110.93333333333413,{L},0
845,126,1,4,0,-112.13333333333412,{L},0
