time_step,passenger_sequence,target_x,target_y,current_x,current_y,current_cell,state
367,18,16,5,5.600000000000004,7,{L},0
367,19,14,5,3.0666666666666664,7,{L},0
367,20,12,5,1.833333333333333,7,{L},0
367,21,17,1,5.866666666666666,3,{L},0
367,22,17,2,2.6,3,{L},0
367,23,15,1,0.4,3,{L},0
367,24,15,2,0,0.3999999999999535,{L},0
367,25,13,1,0,-2.1333333333333835,{L},0
367,26,13,2,0,-4.33333333333339,{L},0
367,27,11,1,0,-6.466666666666731,{L},0
367,28,11,2,0,-8.266666666666737,{L},0
367,29,9,1,0,-9.800000000000068,{L},0
367,30,9,2,0,-11.533333333333399,{L},0
367,31,7,1,0,-13.133333333333397,{L},0
367,32,7,2,0,-14.666666666666728,{L},0
367,33,5,1,0,-16.40000000000001,{L},0
367,34,5,2,0,-17.999999999999954,{L},0
367,35,3,1,0,-19.533333333333232,{L},0
367,36,3,2,0,-21.26666666666651,{L},0
367,37,1,1,0,-22.86666666666646,{L},0
367,38,1,2,0,-24.39999999999976,{L},0
367,39,17,5,0,-26.06666666666639,{L},0
367,40,10,5,0,-27.599999999999714,{L},0
367,41,15,5,0,-29.133333333333027,{L},0
367,42,8,5,0,-30.799999999999667,{L},0
367,43,13,5,0,-32.333333333332995,{L},0
367,44,6,5,0,-33.79999999999966,{L},0
367,45,11,5,0,-35.39999999999965,{L},0
367,46,4,5,0,-36.933333333332975,{L},0
367,47,9,5,0,-38.26666666666632,{L},0
367,48,2,5,0,-39.86666666666631,{L},0
367,49,7,5,0,-41.19999999999965,{L},0
367,50,16,9,0,-42.46666666666632,{L},0
367,51,5,5,0,-43.93333333333299,{L},0
367,52,16,8,0,-45.19999999999967,{L},0
367,53,3,5,0,-46.39999999999968,{L},0
367,54,14,9,0,-47.66666666666635,{L},0
367,55,1,5,0,-48.93333333333303,{L},0
367,56,14,8,0,-50.19999999999971,{L},0
367,57,16,1,0,-51.39999999999972,{L},0
367,58,12,9,0,-52.59999999999973,{L},0
367,59,16,2,0,-53.86666666666641,{L},0
367,60,12,8,0,-55.13333333333309,{L},0
367,61,14,1,0,-56.3333333333331,{L},0
367,62,10,9,0,-57.53333333333311,{L},0
367,63,14,2,0,-58.79999999999979,{L},0
367,64,10,8,0,-60.06666666666647,{L},0
367,65,12,1,0,-61.26666666666659,{L},0
367,66,8,9,0,-62.466666666666704,{L},0
367,67,12,2,0,-63.73333333333349,{L},0
367,68,8,8,0,-65.00000000000017,{L},0
367,69,10,1,0,-66.20000000000016,{L},0
367,70,6,9,0,-67.40000000000015,{L},0
367,71,10,2,0,-68.6666666666668,{L},0
367,72,6,8,0,-69.93333333333345,{L},0
367,73,8,1,0,-71.13333333333344,{L},0
367,74,4,9,0,-72.33333333333343,{L},0
367,75,8,2,0,-73.60000000000008,{L},0
367,76,4,8,0,-74.86666666666673,{L},0
367,77,6,1,0,-76.06666666666672,{L},0
367,78,2,9,0,-77.26666666666671,{L},0
367,79,6,2,0,-78.4666666666667,{L},0
367,80,2,8,0,-79.4666666666667,{L},0
367,81,4,1,0,-80.4666666666667,{L},0
367,82,4,2,0,-81.4666666666667,{L},0
367,83,2,1,0,-82.4666666666667,{L},0
367,84,17,6,0,-83.4666666666667,{L},0
367,85,2,2,0,-84.4666666666667,{L},0
367,86,16,6,0,-85.4666666666667,{L},0
367,87,15,6,0,-86.4666666666667,{L},0
367,88,14,6,0,-87.4666666666667,{L},0
367,89,17,4,0,-88.4666666666667,{L},0
367,90,13,6,0,-89.4666666666667,{L},0
367,91,16,4,0,-90.4666666666667,{L},0
367,92,12,6,0,-91.4666666666667,{L},0
367,93,15,4,0,-92.4666666666667,{L},0
367,94,11,6,0,-93.4666666666667,{L},0
367,95,14,4,0,-94.4666666666667,{L},0
367,96,10,6,0,-95.4666666666667,{L},0
367,97,13,4,0,-96.4666666666667,{L},0
367,98,9,6,0,-97.4666666666667,{L},0
367,99,12,4,0,-98.4666666666667,{L},0
367,100,8,6,0,-99.4666666666667,{L},0
367,101,11,4,0,-100.4666666666667,{L},0
367,102,7,6,0,-101.4666666666667,{L},0
367,103,10,4,0,-102.4666666666667,{L},0
367,104,6,6,0,-103.4666666666667,{L},0
367,105,9,4,0,-104.4666666666667,{L},0
367,106,5,6,0,-105.4666666666667,{L},0
367,107,8,4,0,-106.4666666666667,{L},0
367,108,4,6,0,-107.4666666666667,{L},0
367,109,7,4,0,-108.4666666666667,{L},0
367,110,3,6,0,-109.4666666666667,{L},0
367,111,6,4,0,-110.4666666666667,{L},0
367,112,2,6,0,-111.4666666666667,{L},0
367,113,5,4,0,-112.4666666666667,{L},0
367,114,1,6,0,-113.4666666666667,{L},0
367,115,4,4,0,-114.4666666666667,{L},0
367,116,3,4,0,-115.4666666666667,{L},0
367,117,2,4,0,-116.4666666666667,{L},0
367,118,1,4,0,-117.4666666666667,{L},0
