time_step,passenger_sequence,target_x,target_y,current_x,current_y,current_cell,state
1649,67,13,1,11.479999999999682,0.0,21,0
1649,68,15,-2,10.146666666666347,0.0,22,0
1649,69,12,2,8.479999999999682,0.0,24,0
1649,70,14,-1,7.146666666666337,0.0,25,0
1649,71,20,-3,6.213333333333,0.0,26,0
1649,72,17,1,5.279999999999659,0.0,27,0
1649,73,20,1,4.346666666666313,0.0,28,0
1649,74,17,2,3.413333333332973,0.0,29,0
1649,75,14,-3,2.4799999999996323,0.0,30,0
1649,76,18,-2,1.546666666666279,0.0,30,0
1649,77,20,2,0.546666666666283,0.0,31,0
1649,78,19,2,-0.4533333333337342,0.0,32,0
1649,79,13,2,-1.4533333333337604,0.0,33,0
1649,80,16,2,-2.4533333333337786,0.0,34,0
1649,81,18,-1,-3.4533333333337914,0.0,35,0
1649,82,20,-1,-4.45333333333382,0.0,36,0
1649,83,19,1,-5.453333333333836,0.0,37,0
1649,84,17,3,-6.453333333333855,0.0,38,0
1649,85,17,-2,-7.453333333333871,0.0,39,0
1649,86,19,-2,-8.453333333333896,0.0,40,0
1649,87,18,1,-9.453333333333926,0.0,41,0
1649,88,13,3,-10.453333333333957,0.0,42,0
1649,89,21,3,-11.453333333333982,0.0,43,0
1649,90,14,1,-12.453333333334005,0.0,44,0
1649,91,16,3,-13.453333333334042,0.0,45,0
1649,92,20,3,-14.453333333334074,0.0,46,0
1649,93,20,-2,-15.453333333334099,0.0,47,0
1649,94,21,1,-16.45333333333413,0.0,48,0
1649,95,16,-1,-17.45333333333414,0.0,49,0
1649,96,12,3,-18.453333333334143,0.0,50,0
1649,97,15,1,-19.453333333334154,0.0,51,0
1649,98,14,2,-20.45333333333417,0.0,52,0
1649,99,21,-2,-21.520000000000838,0.0,54,0
1649,100,21,2,-22.520000000000856,0.0,55,0
1649,101,15,2,-23.520000000000863,0.0,56,0
1649,102,12,-1,-24.586666666667533,0.0,57,0
1649,103,14,3,-25.58666666666756,0.0,58,0
1649,104,18,3,-26.586666666667575,0.0,59,0
1649,105,19,3,-27.653333333334267,0.0,60,0
1649,106,18,2,-28.653333333334285,0.0,61,0
1649,107,12,-3,-29.720000000000987,0.0,62,0
1649,108,15,-3,-30.786666666667674,0.0,63,0
1649,109,17,-1,-31.85333333333437,0.0,64,0
1649,110,13,-2,-32.853333333334405,0.0,65,0
1649,111,19,-1,-33.92000000000111,0.0,66,0
1649,112,12,1,-34.986666666667816,0.0,67,0
1649,113,12,-2,-35.98666666666786,0.0,68,0
1649,114,21,-1,-37.12000000000123,0.0,69,0
1649,115,15,-1,-38.18666666666793,0.0,70,0
1649,116,13,-3,-39.25333333333464,0.0,71,0
1649,117,16,-3,-40.32000000000134,0.0,72,0
1649,118,17,-3,-41.45333333333472,0.0,73,0
1649,119,16,1,-42.586666666668094,0.0,75,0
1649,120,19,-3,-43.72000000000147,0.0,76,0
1649,121,21,-3,-44.853333333334845,0.0,77,0
1649,122,18,-3,-46.05333333333489,0.0,78,0
1649,123,23,2,-47.120000000001596,0.0,79,0
1649,124,24,-3,-48.25333333333497,0.0,80,0
1649,125,29,3,-49.386666666668354,0.0,81,0
1649,126,31,2,-50.65333333333506,0.0,83,0
1649,127,23,3,-51.72000000000177,0.0,84,0
1649,128,22,3,-52.92000000000166,0.0,85,0
1649,129,22,1,-54.18666666666821,0.0,86,0
1649,130,28,-3,-55.32000000000142,0.0,87,0
1649,131,26,3,-56.5200000000013,0.0,89,0
1649,132,31,-1,-57.78666666666784,0.0,90,0
1649,133,31,1,-58.92000000000107,0.0,91,0
1649,134,25,-2,-60.12000000000094,0.0,92,0
1649,135,31,-3,-61.32000000000082,0.0,93,0
1649,136,31,3,-62.58666666666737,0.0,95,0
1649,137,27,-3,-63.78666666666725,0.0,96,0
1649,138,25,1,-64.98666666666708,0.0,97,0
1649,139,24,2,-66.18666666666691,0.0,98,0
1649,140,24,3,-67.45333333333339,0.0,99,0
1649,141,27,1,-68.58666666666655,0.0,101,0
1649,142,29,2,-69.85333333333304,0.0,102,0
1649,143,28,3,-71.05333333333286,0.0,103,0
1649,144,25,2,-72.31999999999934,0.0,104,0
1649,145,32,-3,-73.45333333333251,0.0,105,0
1649,146,26,-2,-74.71999999999899,0.0,107,0
1649,147,26,2,-75.91999999999881,0.0,108,0
1649,148,32,-2,-77.1866666666653,0.0,109,0
1649,149,23,-1,-78.31999999999846,0.0,110,0
1649,150,23,1,-79.58666666666494,0.0,112,0
1649,151,28,-2,-80.78666666666477,0.0,113,0
1649,152,24,-1,-82.05333333333125,0.0,114,0
1649,153,26,1,-83.18666666666441,0.0,115,0
1649,154,30,-1,-84.4533333333309,0.0,116,0
1649,155,22,-1,-85.65333333333072,0.0,118,0
1649,156,23,-2,-86.9199999999972,0.0,119,0
1649,157,24,1,-88.05333333333037,0.0,120,0
1649,158,28,1,-89.31999999999685,0.0,121,0
1649,159,26,-3,-90.51999999999667,0.0,123,0
1649,160,28,-1,-91.78666666666317,0.0,124,0
1649,161,29,-2,-92.91999999999634,0.0,125,0
1649,162,25,3,-94.18666666666283,0.0,126,0
1649,163,27,3,-95.31999999999597,0.0,127,0
1649,164,30,2,-96.65333333332914,0.0,129,0
1649,165,30,1,-97.71999999999565,0.0,130,0
1649,166,27,2,-98.98666666666215,0.0,131,0
1649,167,30,-3,-100.11999999999531,0.0,132,0
1649,168,24,-2,-101.3866666666618,0.0,133,0
1649,169,23,-3,-102.45333333332832,0.0,134,0
1649,170,28,2,-103.78666666666149,0.0,136,0
1649,171,22,-3,-104.78666666666135,0.0,137,0
1649,172,29,-1,-106.18666666666117,0.0,138,0
1649,173,31,-2,-107.25333333332769,0.0,139,0
1649,174,32,2,-108.38666666666087,0.0,140,0
1649,175,32,1,-109.5866666666607,0.0,142,0
1649,176,25,-1,-110.78666666666055,0.0,143,0
1649,177,27,-1,-111.91999999999373,0.0,144,0
1649,178,32,-1,-113.11999999999358,0.0,145,0
1649,179,27,-2,-114.25333333332676,0.0,146,0
1649,180,22,2,-115.38666666665996,0.0,147,0
1649,181,26,-1,-116.58666666665981,0.0,149,0
1649,182,32,3,-117.719999999993,0.0,150,0
1649,183,29,1,-118.91999999999285,0.0,151,0
1649,184,30,-2,-120.1199999999927,0.0,152,0
1649,185,25,-3,-121.25333333332588,0.0,153,0
1649,186,29,-3,-122.38666666665908,0.0,154,0
1649,187,22,-2,-123.51999999999228,0.0,156,0
1649,188,30,3,-124.71999999999215,0.0,157,0
