time_step,passenger_sequence,target_x,target_y,current_x,current_y,current_cell,state
665,27,25,2,20.000000000000096,0.0,12,0
665,29,29,2,16.43333333333343,0.0,16,0
665,30,18,2,15.300000000000098,0.0,17,0
665,31,32,2,14.100000000000115,0.0,18,0
665,32,28,-2,12.900000000000135,0.0,19,0
665,33,21,3,11.700000000000152,0.0,20,0
665,34,23,-2,10.30000000000017,0.0,22,0
665,35,22,2,8.900000000000185,0.0,23,0
665,36,20,-2,7.500000000000203,0.0,24,0
665,37,27,3,6.03333333333355,0.0,26,0
665,38,32,3,4.566666666666896,0.0,27,0
665,39,28,2,2.966666666666917,0.0,29,0
665,40,30,3,1.6333333333335978,0.0,30,0
665,41,22,-2,0.1000000000002793,0.0,32,0
665,42,26,3,-1.4333333333330371,0.0,33,0
665,43,25,-2,-2.899999999999688,0.0,35,0
665,44,26,-2,-4.433333333333003,0.0,36,0
665,45,20,-3,-6.033333333332983,0.0,38,0
665,46,21,2,-7.299999999999636,0.0,39,0
665,47,30,-3,-8.899999999999611,0.0,41,0
665,48,31,3,-10.299999999999587,0.0,42,0
665,49,18,3,-11.766666666666225,0.0,44,0
665,50,32,-2,-13.09999999999953,0.0,45,0
665,51,19,2,-14.633333333332843,0.0,47,0
665,52,18,-3,-15.899999999999482,0.0,48,0
665,53,32,-3,-17.16666666666613,0.0,49,0
665,54,31,-2,-19.63333333333278,0.0,52,0
665,55,21,-3,-18.333333333332746,0.0,50,0
665,56,23,-3,-22.033333333332752,0.0,54,0
665,57,23,2,-20.66666666666605,0.0,53,0
665,58,30,-2,-23.066666666666034,0.0,55,0
665,59,31,2,-25.233333333332734,0.0,57,0
665,60,20,3,-24.199999999999363,0.0,56,0
665,61,17,-3,-27.566666666666013,0.0,60,0
665,62,19,-3,-26.59999999999934,0.0,59,0
665,63,22,3,-28.799999999999358,0.0,61,0
665,64,11,-2,-31.099999999999387,0.0,63,0
665,65,1,-3,-29.866666666666116,0.0,62,0
665,66,11,3,-33.23333333333287,0.0,65,0
665,67,8,-2,-32.133333333332914,0.0,64,0
665,68,8,-3,-34.333333333333,0.0,66,0
665,69,3,-2,-35.63333333333306,0.0,68,0
665,70,6,-3,-36.63333333333315,0.0,69,0
665,71,13,3,-37.96666666666657,0.0,70,0
665,72,14,2,-38.96666666666664,0.0,71,0
665,73,16,3,-40.1666666666667,0.0,72,0
665,74,16,-3,-41.23333333333345,0.0,73,0
665,75,1,-2,-42.43333333333353,0.0,74,0
665,76,6,3,-43.56666666666694,0.0,76,0
665,77,5,-2,-44.8333333333337,0.0,77,0
665,78,6,-2,-45.83333333333377,0.0,78,0
665,79,10,-3,-47.03333333333386,0.0,79,0
665,80,3,3,-48.16666666666727,0.0,80,0
665,81,16,-2,-49.16666666666734,0.0,81,0
665,82,9,2,-50.30000000000076,0.0,82,0
665,83,12,2,-51.500000000000846,0.0,84,0
665,84,5,3,-52.633333333334264,0.0,85,0
665,85,8,3,-53.833333333334345,0.0,86,0
665,86,12,-2,-54.83333333333442,0.0,87,0
665,87,2,-2,-55.96666666666784,0.0,88,0
665,88,13,-3,-57.033333333334596,0.0,89,0
665,89,10,3,-58.16666666666801,0.0,90,0
665,90,15,-2,-59.233333333334755,0.0,91,0
665,91,7,-2,-60.23333333333483,0.0,92,0
665,92,14,-3,-61.43333333333492,0.0,93,0
665,93,6,2,-62.56666666666833,0.0,95,0
665,94,10,2,-63.70000000000175,0.0,96,0
665,95,15,3,-64.76666666666844,0.0,97,0
665,96,3,-3,-65.90000000000177,0.0,98,0
665,97,5,-3,-66.96666666666843,0.0,99,0
665,98,5,2,-67.96666666666843,0.0,100,0
665,99,16,2,-69.10000000000176,0.0,101,0
665,100,14,3,-70.10000000000176,0.0,102,0
665,101,15,-3,-71.16666666666842,0.0,103,0
665,102,7,-3,-72.16666666666842,0.0,104,0
665,103,10,-2,-73.23333333333508,0.0,105,0
665,104,12,3,-74.23333333333508,0.0,106,0
665,105,4,2,-75.43333333333507,0.0,107,0
665,106,4,-2,-76.50000000000173,0.0,109,0
665,107,2,-3,-77.50000000000173,0.0,110,0
665,108,8,2,-78.50000000000173,0.0,111,0
665,109,11,2,-79.76666666666839,0.0,112,0
665,110,4,-3,-80.76666666666839,0.0,113,0
665,111,9,3,-81.76666666666839,0.0,114,0
665,112,11,-3,-82.76666666666839,0.0,115,0
665,113,7,2,-83.90000000000171,0.0,116,0
665,114,13,-2,-84.90000000000171,0.0,117,0
665,115,9,-2,-85.90000000000171,0.0,118,0
665,116,7,3,-86.96666666666837,0.0,119,0
665,117,2,3,-88.03333333333504,0.0,120,0
665,118,15,2,-89.03333333333504,0.0,121,0
665,119,14,-2,-90.03333333333504,0.0,122,0
665,120,4,3,-91.03333333333504,0.0,123,0
665,121,2,2,-92.1000000000017,0.0,124,0
665,122,13,2,-93.1000000000017,0.0,125,0
665,123,9,-3,-94.1000000000017,0.0,126,0
665,124,12,-3,-95.1000000000017,0.0,127,0
665,125,3,2,-96.16666666666836,0.0,128,0
665,126,25,1,-97.16666666666836,0.0,129,0
665,127,2,-1,-98.16666666666836,0.0,130,0
665,128,14,-1,-99.16666666666836,0.0,131,0
665,129,27,1,-100.16666666666836,0.0,132,0
665,130,17,-1,-101.16666666666836,0.0,133,0
665,131,12,1,-102.16666666666836,0.0,134,0
665,132,10,-1,-103.23333333333503,0.0,135,0
665,133,8,1,-104.23333333333503,0.0,136,0
665,134,11,1,-105.23333333333503,0.0,137,0
665,135,18,1,-106.23333333333503,0.0,138,0
665,136,28,1,-107.30000000000169,0.0,139,0
665,137,31,1,-108.30000000000169,0.0,140,0
665,138,24,1,-109.30000000000169,0.0,141,0
665,139,30,-1,-110.30000000000169,0.0,142,0
665,140,9,-1,-111.30000000000169,0.0,143,0
665,141,22,1,-112.30000000000169,0.0,144,0
665,142,7,1,-113.30000000000169,0.0,145,0
665,143,23,1,-114.30000000000169,0.0,146,0
665,144,2,1,-115.30000000000169,0.0,147,0
665,145,19,1,-116.30000000000169,0.0,148,0
665,146,32,1,-117.30000000000169,0.0,149,0
665,147,26,-1,-118.30000000000169,0.0,150,0
665,148,19,-1,-119.30000000000169,0.0,151,0
665,149,29,-1,-120.30000000000169,0.0,152,0
665,150,6,-1,-121.30000000000169,0.0,153,0
665,151,8,-1,-122.30000000000169,0.0,154,0
665,152,5,-1,-123.30000000000169,0.0,155,0
665,153,23,-1,-124.30000000000169,0.0,156,0
665,154,17,1,-125.30000000000169,0.0,157,0
665,155,10,1,-126.30000000000169,0.0,158,0
665,156,11,-1,-127.30000000000169,0.0,159,0
665,157,13,-1,-128.3000000000017,0.0,160,0
665,158,28,-1,-129.3000000000017,0.0,161,0
665,159,1,-1,-130.3000000000017,0.0,162,0
665,160,30,1,-131.3000000000017,0.0,163,0
665,161,7,-1,-132.3000000000017,0.0,164,0
665,162,3,-1,-133.3000000000017,0.0,165,0
665,163,12,-1,-134.3000000000017,0.0,166,0
665,164,15,1,-135.3000000000017,0.0,167,0
665,165,9,1,-136.3000000000017,0.0,168,0
665,166,25,-1,-137.3000000000017,0.0,169,0
665,167,14,1,-138.3000000000017,0.0,170,0
665,168,29,1,-139.3000000000017,0.0,171,0
665,169,32,-1,-140.3000000000017,0.0,172,0
665,170,3,1,-141.3000000000017,0.0,173,0
665,171,21,1,-142.3000000000017,0.0,174,0
665,172,5,1,-143.3000000000017,0.0,175,0
665,173,13,1,-144.3000000000017,0.0,176,0
665,174,15,-1,-145.3000000000017,0.0,177,0
665,175,31,-1,-146.3000000000017,0.0,178,0
665,176,27,-1,-147.3000000000017,0.0,179,0
665,177,4,-1,-148.3000000000017,0.0,180,0
665,178,18,-1,-149.3000000000017,0.0,181,0
665,179,22,-1,-150.3000000000017,0.0,182,0
665,180,21,-1,-151.3000000000017,0.0,183,0
665,181,4,1,-152.3000000000017,0.0,184,0
665,182,24,-1,-153.3000000000017,0.0,185,0
665,183,26,1,-154.3000000000017,0.0,186,0
665,184,16,-1,-155.3000000000017,0.0,187,0
665,185,20,1,-156.3000000000017,0.0,188,0
665,186,16,1,-157.3000000000017,0.0,189,0
665,187,6,1,-158.3000000000017,0.0,190,0
665,188,20,-1,-159.3000000000017,0.0,191,0
