time_step,passenger_sequence,target_x,target_y,current_x,current_y,current_cell,state
3542,149,32,-3,22.13333333332935,0.0,10,0
3542,151,24,-3,18.566666666662503,0.0,13,0
3542,154,19,-2,15.166666666662277,0.0,17,0
3542,156,29,-2,11.599999999995498,0.0,20,0
3542,157,11,2,9.166666666662113,0.0,23,0
3542,159,18,-3,7.299999999995322,0.0,25,0
3542,160,25,-3,6.166666666661932,0.0,26,0
3542,161,29,1,5.23333333332854,0.0,27,0
3542,162,17,-1,4.299999999995148,0.0,28,0
3542,163,21,3,3.366666666661754,0.0,29,0
3542,164,13,-1,2.433333333328358,0.0,30,0
3542,165,17,-2,1.499999999994962,0.0,31,0
3542,166,22,1,0.5666666666615748,0.0,31,0
3542,167,17,1,-0.4333333333384872,0.0,32,0
3542,168,22,2,-1.4333333333385494,0.0,33,0
3542,169,24,3,-2.433333333338611,0.0,34,0
3542,170,9,2,-3.433333333338674,0.0,35,0
3542,171,3,2,-4.4333333333387355,0.0,36,0
3542,172,22,-2,-5.433333333338785,0.0,37,0
3542,173,4,-2,-6.433333333338844,0.0,38,0
3542,174,19,-1,-7.4333333333389024,0.0,39,0
3542,175,25,-2,-8.433333333338952,0.0,40,0
3542,176,27,2,-9.43333333333901,0.0,41,0
3542,177,2,-2,-10.43333333333907,0.0,42,0
3542,178,28,2,-11.433333333339126,0.0,43,0
3542,179,6,-3,-12.433333333339178,0.0,44,0
3542,180,32,3,-13.433333333339236,0.0,45,0
3542,181,15,3,-14.433333333339286,0.0,46,0
3542,182,29,2,-15.433333333339345,0.0,47,0
3542,183,2,3,-16.43333333333941,0.0,48,0
3542,184,18,3,-17.433333333339476,0.0,49,0
3542,185,15,-3,-18.43333333333955,0.0,50,0
3542,186,11,-3,-19.43333333333962,0.0,51,0
3542,187,3,-2,-20.433333333339693,0.0,52,0
3542,188,18,1,-21.43333333333976,0.0,53,0
