id seatx seaty locx locy
184 27 3 -1 0
127 32 1 -2 0
152 26 2 -3 0
153 27 2 -4 0
55 23 -2 -5 0
189 32 3 -6 0
124 29 1 -7 0
179 22 3 -8 0
183 26 3 -9 0
150 24 2 -10 0
182 25 3 -11 0
186 29 3 -12 0
158 32 2 -13 0
187 30 3 -14 0
95 31 -1 -15 0
90 26 -1 -16 0
149 23 2 -17 0
63 31 -2 -18 0
29 29 -3 -19 0
62 30 -2 -20 0
23 23 -3 -21 0
120 25 1 -22 0
91 27 -1 -23 0
59 27 -2 -24 0
126 31 1 -25 0
185 28 3 -26 0
118 23 1 -27 0
31 31 -3 -28 0
121 26 1 -29 0
154 28 2 -30 0
94 30 -1 -31 0
60 28 -2 -32 0
56 24 -2 -33 0
151 25 2 -34 0
58 26 -2 -35 0
122 27 1 -36 0
148 22 2 -37 0
155 29 2 -38 0
117 22 1 -39 0
93 29 -1 -40 0
157 31 2 -41 0
180 23 3 -42 0
96 32 -1 -43 0
188 31 3 -44 0
64 32 -2 -45 0
32 32 -3 -46 0
156 30 2 -47 0
57 25 -2 -48 0
30 30 -3 -49 0
86 22 -1 -50 0
26 26 -3 -51 0
88 24 -1 -52 0
61 29 -2 -53 0
123 28 1 -54 0
92 28 -1 -55 0
87 23 -1 -56 0
54 22 -2 -57 0
27 27 -3 -58 0
119 24 1 -59 0
28 28 -3 -60 0
181 24 3 -61 0
24 24 -3 -62 0
125 30 1 -63 0
22 22 -3 -64 0
89 25 -1 -65 0
25 25 -3 -66 0
52 20 -2 -67 0
175 18 3 -68 0
14 14 -3 -69 0
19 19 -3 -70 0
176 19 3 -71 0
15 15 -3 -72 0
16 16 -3 -73 0
107 12 1 -74 0
79 15 -1 -75 0
138 12 2 -76 0
85 21 -1 -77 0
44 12 -2 -78 0
82 18 -1 -79 0
77 13 -1 -80 0
13 13 -3 -81 0
172 15 3 -82 0
21 21 -3 -83 0
17 17 -3 -84 0
45 13 -2 -85 0
48 16 -2 -86 0
112 17 1 -87 0
108 13 1 -88 0
110 15 1 -89 0
78 14 -1 -90 0
50 18 -2 -91 0
139 13 2 -92 0
171 14 3 -93 0
178 21 3 -94 0
53 21 -2 -95 0
109 14 1 -96 0
80 16 -1 -97 0
113 18 1 -98 0
170 13 3 -99 0
51 19 -2 -100 0
116 21 1 -101 0
49 17 -2 -102 0
140 14 2 -103 0
83 19 -1 -104 0
84 20 -1 -105 0
12 12 -3 -106 0
20 20 -3 -107 0
144 18 2 -108 0
114 19 1 -109 0
47 15 -2 -110 0
147 21 2 -111 0
145 19 2 -112 0
141 15 2 -113 0
177 20 3 -114 0
18 18 -3 -115 0
46 14 -2 -116 0
174 17 3 -117 0
76 12 -1 -118 0
111 16 1 -119 0
173 16 3 -120 0
81 17 -1 -121 0
115 20 1 -122 0
142 16 2 -123 0
146 20 2 -124 0
169 12 3 -125 0
143 17 2 -126 0
69 5 -1 -127 0
3 3 -3 -128 0
100 5 1 -129 0
129 3 2 -130 0
9 9 -3 -131 0
167 10 3 -132 0
65 1 -1 -133 0
137 11 2 -134 0
41 9 -2 -135 0
164 7 3 -136 0
73 9 -1 -137 0
98 3 1 -138 0
34 2 -2 -139 0
106 11 1 -140 0
40 8 -2 -141 0
70 6 -1 -142 0
7 7 -3 -143 0
68 4 -1 -144 0
67 3 -1 -145 0
102 7 1 -146 0
8 8 -3 -147 0
165 8 3 -148 0
97 2 1 -149 0
159 2 3 -150 0
10 10 -3 -151 0
39 7 -2 -152 0
99 4 1 -153 0
133 7 2 -154 0
162 5 3 -155 0
72 8 -1 -156 0
5 5 -3 -157 0
71 7 -1 -158 0
2 2 -3 -159 0
163 6 3 -160 0
42 10 -2 -161 0
37 5 -2 -162 0
130 4 2 -163 0
131 5 2 -164 0
168 11 3 -165 0
136 10 2 -166 0
161 4 3 -167 0
103 8 1 -168 0
36 4 -2 -169 0
33 1 -2 -170 0
160 3 3 -171 0
166 9 3 -172 0
101 6 1 -173 0
6 6 -3 -174 0
105 10 1 -175 0
35 3 -2 -176 0
1 1 -3 -177 0
132 6 2 -178 0
128 2 2 -179 0
38 6 -2 -180 0
11 11 -3 -181 0
104 9 1 -182 0
66 2 -1 -183 0
75 11 -1 -184 0
43 11 -2 -185 0
74 10 -1 -186 0
134 8 2 -187 0
4 4 -3 -188 0
135 9 2 -189 0
