id seatx seaty locx locy
137 11 2 -1 0
106 11 1 -2 0
164 7 3 -3 0
163 6 3 -4 0
130 4 2 -5 0
102 7 1 -6 0
9 9 -3 -7 0
132 6 2 -8 0
66 2 -1 -9 0
74 10 -1 -10 0
8 8 -3 -11 0
101 6 1 -12 0
2 2 -3 -13 0
128 2 2 -14 0
167 10 3 -15 0
69 5 -1 -16 0
98 3 1 -17 0
37 5 -2 -18 0
71 7 -1 -19 0
42 10 -2 -20 0
133 7 2 -21 0
159 2 3 -22 0
168 11 3 -23 0
136 10 2 -24 0
135 9 2 -25 0
99 4 1 -26 0
38 6 -2 -27 0
67 3 -1 -28 0
161 4 3 -29 0
11 11 -3 -30 0
104 9 1 -31 0
129 3 2 -32 0
5 5 -3 -33 0
70 6 -1 -34 0
165 8 3 -35 0
131 5 2 -36 0
134 8 2 -37 0
35 3 -2 -38 0
65 1 -1 -39 0
41 9 -2 -40 0
166 9 3 -41 0
162 5 3 -42 0
3 3 -3 -43 0
160 3 3 -44 0
97 2 1 -45 0
43 11 -2 -46 0
68 4 -1 -47 0
34 2 -2 -48 0
72 8 -1 -49 0
33 1 -2 -50 0
105 10 1 -51 0
39 7 -2 -52 0
7 7 -3 -53 0
103 8 1 -54 0
40 8 -2 -55 0
6 6 -3 -56 0
1 1 -3 -57 0
36 4 -2 -58 0
73 9 -1 -59 0
10 10 -3 -60 0
75 11 -1 -61 0
100 5 1 -62 0
4 4 -3 -63 0
81 17 -1 -64 0
174 17 3 -65 0
169 12 3 -66 0
80 16 -1 -67 0
177 20 3 -68 0
17 17 -3 -69 0
146 20 2 -70 0
83 19 -1 -71 0
175 18 3 -72 0
19 19 -3 -73 0
79 15 -1 -74 0
18 18 -3 -75 0
49 17 -2 -76 0
20 20 -3 -77 0
178 21 3 -78 0
140 14 2 -79 0
16 16 -3 -80 0
108 13 1 -81 0
112 17 1 -82 0
115 20 1 -83 0
170 13 3 -84 0
85 21 -1 -85 0
45 13 -2 -86 0
82 18 -1 -87 0
44 12 -2 -88 0
21 21 -3 -89 0
111 16 1 -90 0
12 12 -3 -91 0
84 20 -1 -92 0
172 15 3 -93 0
116 21 1 -94 0
109 14 1 -95 0
110 15 1 -96 0
143 17 2 -97 0
141 15 2 -98 0
47 15 -2 -99 0
138 12 2 -100 0
50 18 -2 -101 0
139 13 2 -102 0
173 16 3 -103 0
48 16 -2 -104 0
114 19 1 -105 0
15 15 -3 -106 0
51 19 -2 -107 0
171 14 3 -108 0
78 14 -1 -109 0
113 18 1 -110 0
52 20 -2 -111 0
142 16 2 -112 0
53 21 -2 -113 0
76 12 -1 -114 0
13 13 -3 -115 0
107 12 1 -116 0
46 14 -2 -117 0
147 21 2 -118 0
145 19 2 -119 0
14 14 -3 -120 0
77 13 -1 -121 0
176 19 3 -122 0
144 18 2 -123 0
86 22 -1 -124 0
29 29 -3 -125 0
87 23 -1 -126 0
125 30 1 -127 0
92 28 -1 -128 0
22 22 -3 -129 0
122 27 1 -130 0
59 27 -2 -131 0
123 28 1 -132 0
54 22 -2 -133 0
117 22 1 -134 0
157 31 2 -135 0
118 23 1 -136 0
188 31 3 -137 0
94 30 -1 -138 0
121 26 1 -139 0
30 30 -3 -140 0
64 32 -2 -141 0
89 25 -1 -142 0
182 25 3 -143 0
152 26 2 -144 0
151 25 2 -145 0
181 24 3 -146 0
119 24 1 -147 0
184 27 3 -148 0
124 29 1 -149 0
23 23 -3 -150 0
28 28 -3 -151 0
93 29 -1 -152 0
95 31 -1 -153 0
96 32 -1 -154 0
127 32 1 -155 0
185 28 3 -156 0
187 30 3 -157 0
57 25 -2 -158 0
179 22 3 -159 0
60 28 -2 -160 0
183 26 3 -161 0
120 25 1 -162 0
56 24 -2 -163 0
88 24 -1 -164 0
148 22 2 -165 0
155 29 2 -166 0
149 23 2 -167 0
91 27 -1 -168 0
158 32 2 -169 0
154 28 2 -170 0
180 23 3 -171 0
62 30 -2 -172 0
156 30 2 -173 0
55 23 -2 -174 0
186 29 3 -175 0
126 31 1 -176 0
25 25 -3 -177 0
61 29 -2 -178 0
63 31 -2 -179 0
58 26 -2 -180 0
26 26 -3 -181 0
32 32 -3 -182 0
24 24 -3 -183 0
153 27 2 -184 0
27 27 -3 -185 0
31 31 -3 -186 0
189 32 3 -187 0
150 24 2 -188 0
90 26 -1 -189 0
