id seatx seaty locx locy
189 32 3 -1 0
22 22 -3 -2 0
19 19 -3 -3 0
2 2 -3 -4 0
21 21 -3 -5 0
11 11 -3 -6 0
30 30 -3 -7 0
18 18 -3 -8 0
9 9 -3 -9 0
169 12 3 -10 0
159 2 3 -11 0
160 3 3 -12 0
26 26 -3 -13 0
6 6 -3 -14 0
182 25 3 -15 0
14 14 -3 -16 0
181 24 3 -17 0
183 26 3 -18 0
168 11 3 -19 0
175 18 3 -20 0
176 19 3 -21 0
161 4 3 -22 0
171 14 3 -23 0
17 17 -3 -24 0
29 29 -3 -25 0
1 1 -3 -26 0
179 22 3 -27 0
7 7 -3 -28 0
162 5 3 -29 0
188 31 3 -30 0
4 4 -3 -31 0
13 13 -3 -32 0
5 5 -3 -33 0
173 16 3 -34 0
10 10 -3 -35 0
164 7 3 -36 0
167 10 3 -37 0
185 28 3 -38 0
15 15 -3 -39 0
165 8 3 -40 0
20 20 -3 -41 0
177 20 3 -42 0
3 3 -3 -43 0
163 6 3 -44 0
178 21 3 -45 0
174 17 3 -46 0
170 13 3 -47 0
23 23 -3 -48 0
12 12 -3 -49 0
32 32 -3 -50 0
166 9 3 -51 0
16 16 -3 -52 0
172 15 3 -53 0
180 23 3 -54 0
8 8 -3 -55 0
187 30 3 -56 0
28 28 -3 -57 0
184 27 3 -58 0
186 29 3 -59 0
27 27 -3 -60 0
31 31 -3 -61 0
25 25 -3 -62 0
24 24 -3 -63 0
43 11 -2 -64 0
52 20 -2 -65 0
64 32 -2 -66 0
46 14 -2 -67 0
146 20 2 -68 0
157 31 2 -69 0
54 22 -2 -70 0
135 9 2 -71 0
128 2 2 -72 0
132 6 2 -73 0
58 26 -2 -74 0
133 7 2 -75 0
57 25 -2 -76 0
142 16 2 -77 0
60 28 -2 -78 0
34 2 -2 -79 0
137 11 2 -80 0
53 21 -2 -81 0
56 24 -2 -82 0
158 32 2 -83 0
38 6 -2 -84 0
49 17 -2 -85 0
51 19 -2 -86 0
33 1 -2 -87 0
138 12 2 -88 0
131 5 2 -89 0
140 14 2 -90 0
143 17 2 -91 0
130 4 2 -92 0
63 31 -2 -93 0
44 12 -2 -94 0
145 19 2 -95 0
47 15 -2 -96 0
62 30 -2 -97 0
55 23 -2 -98 0
149 23 2 -99 0
36 4 -2 -100 0
141 15 2 -101 0
48 16 -2 -102 0
45 13 -2 -103 0
35 3 -2 -104 0
144 18 2 -105 0
147 21 2 -106 0
41 9 -2 -107 0
134 8 2 -108 0
155 29 2 -109 0
151 25 2 -110 0
152 26 2 -111 0
40 8 -2 -112 0
50 18 -2 -113 0
61 29 -2 -114 0
39 7 -2 -115 0
59 27 -2 -116 0
156 30 2 -117 0
136 10 2 -118 0
129 3 2 -119 0
150 24 2 -120 0
154 28 2 -121 0
139 13 2 -122 0
148 22 2 -123 0
42 10 -2 -124 0
153 27 2 -125 0
37 5 -2 -126 0
82 18 -1 -127 0
92 28 -1 -128 0
69 5 -1 -129 0
117 22 1 -130 0
72 8 -1 -131 0
126 31 1 -132 0
73 9 -1 -133 0
107 12 1 -134 0
90 26 -1 -135 0
66 2 -1 -136 0
78 14 -1 -137 0
110 15 1 -138 0
70 6 -1 -139 0
100 5 1 -140 0
86 22 -1 -141 0
76 12 -1 -142 0
124 29 1 -143 0
96 32 -1 -144 0
95 31 -1 -145 0
106 11 1 -146 0
102 7 1 -147 0
65 1 -1 -148 0
116 21 1 -149 0
89 25 -1 -150 0
115 20 1 -151 0
85 21 -1 -152 0
112 17 1 -153 0
75 11 -1 -154 0
125 30 1 -155 0
91 27 -1 -156 0
99 4 1 -157 0
108 13 1 -158 0
68 4 -1 -159 0
118 23 1 -160 0
127 32 1 -161 0
111 16 1 -162 0
98 3 1 -163 0
80 16 -1 -164 0
87 23 -1 -165 0
88 24 -1 -166 0
74 10 -1 -167 0
114 19 1 -168 0
79 15 -1 -169 0
81 17 -1 -170 0
77 13 -1 -171 0
122 27 1 -172 0
97 2 1 -173 0
119 24 1 -174 0
83 19 -1 -175 0
105 10 1 -176 0
84 20 -1 -177 0
67 3 -1 -178 0
101 6 1 -179 0
109 14 1 -180 0
103 8 1 -181 0
104 9 1 -182 0
93 29 -1 -183 0
94 30 -1 -184 0
113 18 1 -185 0
123 28 1 -186 0
120 25 1 -187 0
71 7 -1 -188 0
121 26 1 -189 0
